"zone_id","datum","uur","max_availability","avg_availability"
51931,2024-08-12,5,1,1
51931,2024-08-12,6,1,1
51931,2024-08-12,7,1,1
51931,2024-08-12,8,1,1
51931,2024-08-12,9,1,1
51931,2024-08-12,10,1,1
51931,2024-08-12,11,1,1
51931,2024-08-12,12,1,1
51931,2024-08-12,13,1,1
51931,2024-08-12,14,1,1
51931,2024-08-12,15,1,1
51931,2024-08-12,16,1,1
51931,2024-08-12,17,1,1
51931,2024-08-12,18,1,1
51931,2024-08-12,19,1,1
51931,2024-08-12,20,1,1
51931,2024-08-12,21,1,1
51931,2024-08-12,22,1,1
51931,2024-08-12,23,1,1
51931,2024-08-13,0,1,1
51931,2024-08-13,1,1,1
51931,2024-08-13,2,1,1
51931,2024-08-13,3,1,1
51931,2024-08-13,4,1,1
51931,2024-08-13,5,1,1
51931,2024-08-13,6,1,1
51931,2024-08-13,7,1,1
51931,2024-08-13,8,1,1
51931,2024-08-13,9,1,1
51931,2024-08-13,10,1,1
51931,2024-08-13,11,1,1
51931,2024-08-13,12,1,1
51931,2024-08-13,13,1,1
51931,2024-08-13,14,1,1
51931,2024-08-13,15,1,1
51931,2024-08-13,16,1,1
51931,2024-08-13,17,1,1
51931,2024-08-13,18,1,1
51931,2024-08-13,19,1,1
51931,2024-08-13,20,1,1
51931,2024-08-13,21,1,1
51931,2024-08-13,22,1,1
51931,2024-08-13,23,1,1
51931,2024-08-14,0,1,1
51931,2024-08-14,1,1,1
51931,2024-08-14,2,1,1
51931,2024-08-14,3,1,1
51931,2024-08-14,4,1,1
51931,2024-08-14,5,1,1
51931,2024-08-14,6,1,1
51931,2024-08-14,7,1,1
51931,2024-08-14,8,1,1
51931,2024-08-14,9,1,1
51931,2024-08-14,10,1,1
51931,2024-08-14,11,1,1
51931,2024-08-14,12,1,1
51931,2024-08-14,13,1,1
51931,2024-08-14,14,1,1
51931,2024-08-14,15,1,1
51931,2024-08-14,16,1,1
51931,2024-08-14,17,1,1
51931,2024-08-14,18,1,1
51931,2024-08-14,19,1,1
51931,2024-08-14,20,1,1
51931,2024-08-14,21,1,1
51931,2024-08-14,22,1,1
51931,2024-08-14,23,1,1
51931,2024-08-15,0,1,1
51931,2024-08-15,1,1,1
