name,WKT
Burgemeester Oudlaan no-park,"POLYGON((4.521702725 51.917652687, 4.522829619 51.917442473, 4.521955589 51.915913306, 4.520795713 51.91618795, 4.521702725 51.917652687))"
Metro Dijkzigt - EMC no-park,"POLYGON((4.464583275 51.911087239, 4.467565546 51.911215111, 4.468093796 51.911417231, 4.468174036 51.911755471, 4.467458558 51.913116653, 4.467405065 51.913149651, 4.465679894 51.913302266, 4.465358933 51.913228021, 4.464061711 51.911825593, 4.464248939 51.911491479, 4.464583275 51.911087239))"
Waterloostraat no-park,"POLYGON((4.514939471 51.924753052, 4.515671327 51.92450424, 4.512762671 51.920233717, 4.512002667 51.92041311, 4.514939471 51.924753052))"
Winkelhart Asterlo no-park,"POLYGON((4.481179759 51.873439098, 4.48116903 51.87377692, 4.482306287 51.87432008, 4.482874915 51.874551914, 4.483668849 51.874644648, 4.484237478 51.874618152, 4.485739515 51.874068372, 4.486029193 51.873664313, 4.485997007 51.87329337, 4.484741733 51.872392495, 4.482617423 51.872405743, 4.481179759 51.873439098))"
Beverwaardseweg no-park,"POLYGON((4.562358452 51.899206725, 4.564213139 51.899926989, 4.565198847 51.899918986, 4.566262374 51.899502835, 4.567286991 51.89856648, 4.567196202 51.898286371, 4.564900541 51.897534067, 4.563668406 51.897630107, 4.562280633 51.898742549, 4.562358452 51.899206725))"
Sint Franciscus no-park,"POLYGON((4.460619098 51.940549894, 4.46096242 51.940463911, 4.462893611 51.942163706, 4.462872153 51.942520853, 4.462228423 51.942963976, 4.460691623 51.943667674, 4.460332854 51.943577991, 4.458928018 51.942177329, 4.458785325 51.941861055, 4.460619098 51.940549894))"
Wilhelminakade no-park,"POLYGON((4.4871833 51.905737673, 4.487346346 51.908606075, 4.487550194 51.908864208, 4.491412575 51.908394273, 4.491766626 51.907262437, 4.491294557 51.906176906, 4.489298994 51.905806232, 4.4871833 51.905737673))"
Feijenoord no-park,"POLYGON((4.522255879 51.898461342, 4.523544009 51.898214827, 4.525176148 51.897804477, 4.526071192 51.896866948, 4.525995978 51.896514209, 4.5249129 51.896050074, 4.522728452 51.896095954, 4.520352664 51.896654318, 4.519222601 51.8975768, 4.522255879 51.898461342))"
Dwarsdijk no-park,"POLYGON((4.538508823 51.894197698, 4.539410045 51.894684334, 4.53973191 51.894687645, 4.540547302 51.893681263, 4.541008642 51.892482844, 4.541008642 51.892125299, 4.5404722 51.891820721, 4.53931885 51.891675052, 4.5381655 51.891529384, 4.537822178 51.891761129, 4.537167719 51.892694722, 4.537124803 51.893131716, 4.538508823 51.894197698))"
Metro Beurs/Schilderstraat no-park,"POLYGON((4.477723579 51.917552589, 4.478393456 51.91840277, 4.480184087 51.919165537, 4.482412715 51.918569627, 4.483327355 51.916972549, 4.483430413 51.916694445, 4.482232364 51.914874808, 4.481768603 51.914898646, 4.481536723 51.914962216, 4.479076215 51.915868069, 4.477775108 51.917218868, 4.477723579 51.917552589))"
Metro Romeynshof no-park,"POLYGON((4.541647596 51.96162795, 4.542228991 51.9622612, 4.542912967 51.962862846, 4.543234796 51.96305664, 4.544375824 51.962840312, 4.546006909 51.962033577, 4.546511595 51.961515275, 4.546409195 51.961163728, 4.544178338 51.96036147, 4.543680967 51.960253299, 4.54293491 51.960469641, 4.541698796 51.96126739, 4.541647596 51.96162795))"
STC Waalhaven no-park,"POLYGON((4.446305609 51.878739054, 4.446450072 51.8788784, 4.446802202 51.879017745, 4.447966937 51.878956433, 4.449086528 51.878895121, 4.451136102 51.878164946, 4.451090957 51.877819363, 4.450558249 51.876905227, 4.449718555 51.876944246, 4.447876648 51.877222947, 4.446269493 51.87837118, 4.446305609 51.878739054))"
Metrostation Hvh no-park,"POLYGON((4.125995866 51.977216491, 4.126119121 51.977541871, 4.127087559 51.977780482, 4.127862309 51.977281567, 4.129499849 51.975936638, 4.129077258 51.974949607, 4.128408156 51.974960454, 4.126383241 51.975763095, 4.126013474 51.976576569, 4.125995866 51.977216491))"
Marconiplein no-park,"POLYGON((4.428027787 51.912113294, 4.42806637 51.9125298, 4.428394321 51.913315199, 4.429474633 51.913886389, 4.430304158 51.914052985, 4.430747857 51.91424338, 4.432889189 51.914302878, 4.434876191 51.913814991, 4.434934064 51.913493696, 4.434548239 51.9126607, 4.433892335 51.911827689, 4.43350651 51.911542081, 4.428027787 51.912113294))"
Slinge no-park,"POLYGON((4.476288589 51.873857064, 4.476249975 51.87433641, 4.478091841 51.876234862, 4.4789365 51.87602627, 4.479382324 51.875379668, 4.479545441 51.87392431, 4.479407417 51.873642062, 4.478132272 51.873040254, 4.477531961 51.873114571, 4.476288589 51.873857064))"
Rijnhaven/Maashaven no-park,"POLYGON((4.492923678 51.900911523, 4.489999686 51.897217696, 4.490276279 51.896717848, 4.491639492 51.89665689, 4.493042218 51.895047583, 4.494701781 51.895023199, 4.495333996 51.89641306, 4.496519398 51.896864145, 4.498119691 51.897912598, 4.498218475 51.901703889, 4.497823341 51.903276389, 4.496440371 51.903812732, 4.493674433 51.902374341, 4.492880167 51.901025281, 4.492923678 51.900911523))"
Van der Takstraat no-park,"POLYGON((4.494172717 51.913162569, 4.494587824 51.912857703, 4.496183684 51.912791521, 4.497381285 51.912834526, 4.497848969 51.913289888, 4.498027396 51.913884253, 4.49790437 51.914214508, 4.496170727 51.91546228, 4.493928313 51.914151265, 4.494172717 51.913162569))"
Schiedamseweg Beneden no-park,"POLYGON((4.41804476 51.914293976, 4.418207929 51.914923517, 4.421395303 51.915276333, 4.42333002 51.915470331, 4.42341103 51.915458573, 4.424812033 51.914109388, 4.42477391 51.913453887, 4.424030521 51.913500918, 4.41804476 51.914293976))"
Rosestraat no-park,"POLYGON((4.499162136 51.911216205, 4.500117002 51.912208958, 4.500277935 51.912235431, 4.501897989 51.911983936, 4.503968654 51.909568188, 4.50373262 51.909290203, 4.501254259 51.909568188, 4.499097763 51.910322709, 4.499162136 51.911216205))"
Metrostation Graskruid no-park,"POLYGON((4.549592503 51.958152769, 4.551992386 51.957206018, 4.552082758 51.956847114, 4.550998292 51.954415151, 4.550646845 51.954297572, 4.548538161 51.955906523, 4.54845783 51.957484477, 4.549251097 51.958041388, 4.549592503 51.958152769))"
Coen Moulijnweg no-park,"POLYGON((4.524616892 51.894964932, 4.526407184 51.895317747, 4.527666689 51.895259797, 4.528902141 51.895150251, 4.529209934 51.895045825, 4.52963106 51.894695881, 4.529902221 51.894248965, 4.529734505 51.893532112, 4.529468998 51.893316408, 4.524499858 51.892518333, 4.523402663 51.892400965, 4.523270999 51.892807237, 4.524280419 51.89476632, 4.524616892 51.894964932))"
Lombardijen no-park,"POLYGON((4.52812538 51.880444434, 4.528463292 51.880727046, 4.529586035 51.881218247, 4.533064856 51.881175509, 4.533183115 51.880739153, 4.53257215 51.879714318, 4.531406403 51.878943872, 4.528899309 51.879004434, 4.528474193 51.879058266, 4.52812538 51.880444434))"
Willemsplein no-park,"POLYGON((4.479284311 51.910645688, 4.4800246 51.911638453, 4.481247688 51.912379703, 4.482063079 51.912412795, 4.482535148 51.912280429, 4.482781911 51.909719087, 4.482449317 51.909513909, 4.479643592 51.910082483, 4.47942609 51.910085793, 4.479258021 51.910125695, 4.479019904 51.910165735, 4.479137699 51.910455829, 4.479284311 51.910645688))"
Meerum Terwogtlaan no-park,"POLYGON((4.522296021 51.951368464, 4.52283165 51.952990875, 4.523001483 51.953300857, 4.525235448 51.953582658, 4.525490199 51.952077018, 4.525424878 51.950704185, 4.525411814 51.950619639, 4.523811459 51.950639769, 4.522413598 51.951026261, 4.522296021 51.951368464))"
Argonautenweg no-park,"POLYGON((4.491276037 51.95992489, 4.49136853 51.960209864, 4.491461022 51.960266858, 4.491855656 51.960301055, 4.493643842 51.960209864, 4.495136052 51.959552521, 4.495820495 51.95889137, 4.495857492 51.95856459, 4.495728003 51.95818461, 4.495370366 51.957922423, 4.494685922 51.957854026, 4.49217013 51.957968021, 4.491707668 51.958465795, 4.491282203 51.959598118, 4.491276037 51.95992489))"
Sandelingenplein no-park,"POLYGON((4.50472134 51.889788918, 4.507832703 51.890470936, 4.508862671 51.890113374, 4.508927044 51.889610135, 4.507070955 51.888166601, 4.506395039 51.888252685, 4.505118307 51.888914861, 4.504753527 51.889437973, 4.50472134 51.889788918))"
Groene Hilledijk no-park,"POLYGON((4.505093314 51.884892182, 4.506153251 51.884701359, 4.505863922 51.882919317, 4.505788821 51.882336525, 4.505601066 51.881944129, 4.505268472 51.881427553, 4.50261845 51.881533518, 4.502382415 51.881811674, 4.502350229 51.882579908, 4.502564805 51.883467333, 4.502875942 51.883871304, 4.505093314 51.884892182))"
Jacques Duthilweg/Mia van Yperenplein no-park,"POLYGON((4.543767035 51.929100566, 4.544759369 51.929798521, 4.545104862 51.929916877, 4.546850628 51.929331644, 4.547677335 51.928955024, 4.549836478 51.928572444, 4.549921482 51.928372306, 4.549859661 51.928195994, 4.549365094 51.927771888, 4.54779216 51.926803902, 4.547457357 51.926674863, 4.544494347 51.927263278, 4.544343685 51.927294247, 4.543891701 51.927732973, 4.543767035 51.929100566))"
Molenlaan/Grindweg no-park,"POLYGON((4.493473434 51.964996775, 4.495607636 51.964609724, 4.497113657 51.964068841, 4.497870695 51.963671858, 4.497830427 51.962664498, 4.497653248 51.96228239, 4.495599582 51.961265074, 4.495196903 51.961369288, 4.493578131 51.96348329, 4.493296255 51.964708968, 4.493473434 51.964996775))"
Olympiaweg no-park,"POLYGON((4.52955575 51.887875295, 4.531454754 51.886921736, 4.531465483 51.886497926, 4.529727411 51.885021181, 4.52660532 51.886140333, 4.526648235 51.886537658, 4.527291966 51.88703431, 4.52955575 51.887875295))"
Oostzeedijk Beneden no-park,"POLYGON((4.509464919 51.921122622, 4.509217511 51.920839243, 4.50885229 51.920744784, 4.506083677 51.920621259, 4.505624205 51.920730251, 4.503503565 51.921158952, 4.502443245 51.921413264, 4.500334386 51.922372371, 4.500028072 51.922670271, 4.500063416 51.923069891, 4.501147298 51.923273332, 4.503338626 51.923818259, 4.503538909 51.92383279, 4.506920151 51.922888246, 4.506329975 51.921899223, 4.509464919 51.921122622))"
Metro Coolhaven no-park,"POLYGON((4.456728877 51.910188748, 4.457490624 51.910559387, 4.459024848 51.910420398, 4.460054816 51.909910767, 4.459947528 51.90970559, 4.45863861 51.908309034, 4.458391846 51.908150181, 4.45633191 51.908467886, 4.456095875 51.909169476, 4.4565143 51.909950479, 4.456728877 51.910188748))"
RCD no-park,"POLYGON((4.464834402 51.924081231, 4.479231701 51.927596128, 4.479842383 51.926375075, 4.48113777 51.925370819, 4.479971922 51.924971393, 4.480064449 51.924629025, 4.47323591 51.922905733, 4.471496391 51.922312266, 4.467887814 51.921513356, 4.465741173 51.92123944, 4.46513049 51.922700303, 4.464834402 51.924081231))"
Kievitslaan no-park,"POLYGON((4.472073563 51.90977768, 4.474627182 51.908084016, 4.475131438 51.907283124, 4.474251673 51.905952685, 4.473865435 51.905694535, 4.472814009 51.905999019, 4.471075938 51.907104411, 4.471161768 51.90744198, 4.470379514 51.909278244, 4.472073563 51.90977768))"
Sparta stadion no-park,"POLYGON((4.432178191 51.919834886, 4.432428428 51.920070066, 4.433500872 51.920433857, 4.434716571 51.920829063, 4.435205949 51.9202247, 4.435858463 51.919567362, 4.435556391 51.919254281, 4.435335944 51.918916204, 4.435079749 51.918669994, 4.434275416 51.918673669, 4.432184149 51.919618079, 4.432130527 51.91966585, 4.432178191 51.919834886))"
Alexanderplein no-park,"POLYGON((4.550853119 51.953635192, 4.55276923 51.952737425, 4.553475166 51.951763672, 4.55596275 51.952012292, 4.556198062 51.951901794, 4.556960024 51.951218085, 4.55699364 51.950900398, 4.556612659 51.950748461, 4.556713507 51.950389333, 4.5564894 51.949974951, 4.556175651 51.949622723, 4.555391278 51.949325745, 4.554965475 51.949463874, 4.55260115 51.949968044, 4.551458206 51.950251206, 4.549777407 51.950817523, 4.548925801 51.951556488, 4.548925801 51.951970855, 4.549319526 51.952839729, 4.550853119 51.953635192))"
Tongelaarweg no-park,"POLYGON((4.561789998 51.895866451, 4.56227986 51.896361105, 4.562653936 51.896504004, 4.563206144 51.896575454, 4.564239308 51.896344617, 4.564497598 51.896251183, 4.56535263 51.895553168, 4.565815772 51.895042016, 4.565771239 51.894657274, 4.563802885 51.89392076, 4.563081452 51.893744874, 4.562725189 51.893838313, 4.562057196 51.894261537, 4.561789998 51.895866451))"
Oude Haven no-park,"POLYGON((4.490150131 51.919704406, 4.490903401 51.919664201, 4.491363329 51.919894262, 4.492877111 51.919474344, 4.493521736 51.920039446, 4.492887975 51.920356615, 4.492674308 51.920488395, 4.492009002 51.920541659, 4.491655758 51.920552252, 4.49102515 51.920249284, 4.49013278 51.919805836, 4.490073289 51.919775434, 4.490150131 51.919704406))"
Prinsenlaan no-park,"POLYGON((4.533688674 51.937121873, 4.533729198 51.936788751, 4.533783229 51.936676322, 4.534613969 51.936801243, 4.539490345 51.937667354, 4.539422805 51.938050437, 4.536680688 51.937588239, 4.533688674 51.937121873))"
Metrostation Nesseland no-park,"POLYGON((4.584705872 51.977820636, 4.584320218 51.978145286, 4.584165957 51.978509525, 4.584693016 51.979689321, 4.584834423 51.979895188, 4.586891241 51.98030692, 4.587379736 51.980291084, 4.588163898 51.97996645, 4.588292449 51.979594305, 4.587958216 51.978406588, 4.58786823 51.978105695, 4.586891241 51.977559331, 4.584705872 51.977820636))"
Langenhorst no-park,"POLYGON((4.494532851 51.875782524, 4.494230792 51.875679469, 4.493706165 51.875404653, 4.492211771 51.873898043, 4.492211771 51.873500525, 4.494055917 51.872568062, 4.494397719 51.872538615, 4.49620212 51.873844059, 4.496520076 51.874099254, 4.496464434 51.874511489, 4.494850807 51.875748172, 4.494532851 51.875782524))"
Beverwaard no-park,"POLYGON((4.568672239 51.893431763, 4.570229112 51.893334714, 4.570527906 51.893208549, 4.57098396 51.892946514, 4.571046864 51.892626247, 4.569537169 51.888200506, 4.570480728 51.88754049, 4.571031138 51.88646309, 4.571204124 51.885783635, 4.570873878 51.884910035, 4.567272626 51.88474502, 4.56702101 51.884861501, 4.56662786 51.885502143, 4.56654923 51.885812755, 4.565354055 51.887928736, 4.564898001 51.888744042, 4.564866549 51.889064337, 4.56717827 51.892218632, 4.568672239 51.893431763))"
Westplein no-park,"POLYGON((4.476305575 51.908562166, 4.478150935 51.910455107, 4.480489821 51.90997857, 4.480897517 51.90891958, 4.479652972 51.907423715, 4.477056594 51.907728187, 4.476305575 51.908562166))"
Kraaierstraat no-park,"POLYGON((4.417322609 51.920028663, 4.419646722 51.92029619, 4.420707032 51.91916662, 4.420696321 51.918806605, 4.419378967 51.918235198, 4.417960511 51.917668253, 4.41787196 51.917663288, 4.416835462 51.918335052, 4.416888308 51.918685446, 4.417322609 51.920028663))"
Jacob van Campenweg no-park,"POLYGON((4.537348689 51.943773235, 4.538911604 51.943520418, 4.540319336 51.942912285, 4.540385843 51.942536468, 4.539471371 51.941572997, 4.539022449 51.941303084, 4.538635304 51.941114558, 4.537554667 51.941110394, 4.536980579 51.941272776, 4.535656798 51.941780735, 4.535589258 51.942155455, 4.536210625 51.942892395, 4.536555078 51.943392008, 4.536967071 51.943700101, 4.537348689 51.943773235))"
Beethovensingel no-park,"POLYGON((4.50366187 51.960521989, 4.503772158 51.960879673, 4.504933088 51.961956283, 4.505635451 51.962253151, 4.505995339 51.962195924, 4.50655839 51.961802483, 4.507411674 51.960572065, 4.507423283 51.960482644, 4.507260753 51.960164303, 4.505113032 51.959710037, 4.503981125 51.959799459, 4.503754744 51.960082034, 4.50366187 51.960521989))"
Siciliëboulevard no-park,"POLYGON((4.581429683 51.978471077, 4.58173454 51.978561937, 4.582993304 51.979373618, 4.583170318 51.979512935, 4.583209654 51.979900596, 4.582865461 51.980639568, 4.58216724 51.981408811, 4.581931222 51.981705603, 4.581410015 51.982511169, 4.581046153 51.982553567, 4.578794146 51.979313045, 4.578902321 51.978961722, 4.580347933 51.978677027, 4.581429683 51.978471077))"
Meijersplein no-park,"POLYGON((4.462641142 51.957232879, 4.462727018 51.957269516, 4.46515796 51.956154095, 4.465250441 51.955824348, 4.464774822 51.955111924, 4.464186904 51.954472769, 4.463856613 51.954285498, 4.462442968 51.954655967, 4.461544576 51.954997935, 4.461227497 51.955478315, 4.461286949 51.955836561, 4.462641142 51.957232879))"
Metrostation Oostplein no-park,"POLYGON((4.495182454 51.92421398, 4.495905995 51.924563711, 4.496306876 51.924563711, 4.498369945 51.924141622, 4.498575275 51.924045144, 4.499905026 51.923056231, 4.499817028 51.922000965, 4.498017952 51.921319551, 4.497851734 51.921307491, 4.495720221 51.921723577, 4.495260674 51.921946693, 4.495114011 51.922314532, 4.495055345 51.923978815, 4.495182454 51.92421398))"
Oosterflank no-park,"POLYGON((4.552873907 51.948283978, 4.553254706 51.948382406, 4.555772893 51.94695896, 4.555908015 51.946716666, 4.556583627 51.945929204, 4.557050413 51.945421889, 4.55697671 51.945126584, 4.555662339 51.943778756, 4.555256972 51.943612167, 4.552873907 51.944437531, 4.552603662 51.944679836, 4.552124592 51.944990288, 4.551640746 51.946035651, 4.551640746 51.946390724, 4.552873907 51.948283978))"
Guido Gezelleweg no-park,"POLYGON((4.521827974 51.87313099, 4.524456539 51.873084621, 4.524649658 51.873323086, 4.525529422 51.874926067, 4.525035896 51.875336739, 4.522267856 51.875846762, 4.521892347 51.875800397, 4.520840921 51.874806839, 4.520722904 51.874449153, 4.521827974 51.87313099))"
Vierhavenstraat no-park,"POLYGON((4.433685009 51.911690374, 4.433372926 51.911513259, 4.432958521 51.910270827, 4.433112675 51.909947497, 4.433710792 51.909418752, 4.436356074 51.909049768, 4.436460898 51.909049768, 4.436676714 51.909365497, 4.433803284 51.911716275, 4.433685009 51.911690374))"
Schuttersveld no-park,"POLYGON((4.4887609 51.933538214, 4.492331262 51.93347951, 4.492720035 51.933362102, 4.49313261 51.933039228, 4.493081038 51.932684553, 4.492085304 51.932305415, 4.490462772 51.932442394, 4.490085901 51.932535344, 4.488709328 51.933188435, 4.4887609 51.933538214))"
Station Rotterdam Zuid no-park,"POLYGON((4.503709484 51.90655144, 4.50446917 51.907859833, 4.505149722 51.908426141, 4.506447519 51.910369109, 4.506764055 51.910613195, 4.51029343 51.910056678, 4.51029343 51.909656372, 4.509660358 51.908260155, 4.51064162 51.906658846, 4.510942329 51.904862188, 4.510768234 51.904461836, 4.510467525 51.904276306, 4.511559574 51.903036163, 4.5115754 51.902772506, 4.511337999 51.902772506, 4.509976894 51.904178658, 4.508046025 51.904500895, 4.506400039 51.905301595, 4.504358382 51.905233243, 4.503709484 51.90655144))"
Walenburgerweg no-park,"POLYGON((4.46120841 51.927726909, 4.462855846 51.928032503, 4.46375323 51.927978818, 4.463840289 51.927962299, 4.463940743 51.927912744, 4.464597038 51.927346977, 4.464818036 51.927033118, 4.46483143 51.926616013, 4.464342556 51.925546388, 4.463485354 51.925344024, 4.462855846 51.925389452, 4.462038825 51.925546388, 4.460846777 51.925893296, 4.460311026 51.926099788, 4.460284238 51.926463211, 4.460933837 51.927508035, 4.46120841 51.927726909))"
Zuidplein/Strevelsweg no-park,"POLYGON((4.484607745 51.885761838, 4.486384194 51.885303965, 4.486930794 51.884568949, 4.491889233 51.884882236, 4.495520217 51.883858019, 4.493802332 51.887171576, 4.49321669 51.888533076, 4.49473936 51.888942723, 4.496554852 51.888761997, 4.497745658 51.889412607, 4.497862787 51.890496937, 4.497745658 51.890749943, 4.497160016 51.890858374, 4.494817446 51.89059332, 4.494114675 51.889978871, 4.491694019 51.889749957, 4.491323112 51.889075255, 4.49060082 51.889207786, 4.490952205 51.889930679, 4.488277771 51.890484889, 4.484607745 51.885761838))"
P+R Capelsebrug no-park,"POLYGON((4.55742914 51.92090784, 4.557525699 51.920563755, 4.558394735 51.919571187, 4.560594146 51.919643977, 4.561066215 51.919902046, 4.561538284 51.921390879, 4.561430996 51.92172834, 4.558780973 51.922323855, 4.557761734 51.922224603, 4.55742914 51.92090784))"
Melanchtonweg no-park,"POLYGON((4.464125705 51.948178642, 4.463776515 51.948746711, 4.463436112 51.949323324, 4.463830791 51.950166823, 4.4644184 51.950230391, 4.465067722 51.950362304, 4.465468908 51.950228711, 4.465762286 51.950122818, 4.466449172 51.949892774, 4.467048193 51.949263048, 4.467107065 51.948901241, 4.46682618 51.948594173, 4.466584887 51.948511795, 4.465312716 51.948191773, 4.464290303 51.947940183, 4.464125705 51.948178642))"
Feijenoord no-park,"POLYGON((4.5082441 51.897018053, 4.509156701 51.898471967, 4.509372407 51.898697217, 4.510533899 51.898973659, 4.510799383 51.898922466, 4.513719707 51.897898598, 4.513769485 51.897448089, 4.512541622 51.894878051, 4.511396722 51.893587857, 4.510799383 51.892563867, 4.509123516 51.892246426, 4.508260693 51.892461467, 4.507431056 51.894366074, 4.505008515 51.894294396, 4.504593696 51.894601584, 4.504394583 51.894837093, 4.504427769 51.8965061, 4.504543918 51.896772316, 4.505622446 51.896997575, 4.5082441 51.897018053))"
Dirk van der Kooijweg (Waterleliesingel) no-park,"POLYGON((4.519580215 51.955225897, 4.521391597 51.954862445, 4.521830902 51.954606543, 4.522011438 51.953872208, 4.521848955 51.952948709, 4.521698508 51.952651998, 4.518539122 51.952462844, 4.518322478 51.952763265, 4.518352567 51.953093354, 4.519580215 51.955225897))"
Burgemeester Le Fèvre de Montignylaan no-park,"POLYGON((4.499872385 51.958749724, 4.502961336 51.958967681, 4.503181414 51.958710975, 4.50363729 51.956947901, 4.503480091 51.956633059, 4.501633008 51.956390871, 4.500123902 51.956400559, 4.49931433 51.957320865, 4.499188571 51.957698669, 4.499872385 51.958749724))"
Franselaan no-park,"POLYGON((4.418052642 51.917709785, 4.419973029 51.918548376, 4.421210963 51.918545113, 4.421538963 51.918417857, 4.422999092 51.917272537, 4.42297793 51.916903809, 4.421845802 51.916450238, 4.420877673 51.916280555, 4.420438577 51.916378449, 4.4180209 51.917354113, 4.418052642 51.917709785))"
